SURFACE_COND_DESC,ATMOSPH_COND_DESC,ROAD_GEOMETRY_DESC,AGE_GROUP_MODE,LIGHT_CONDITION,VEHICLE_AGE_NORM,TOTAL_OCCUPANTS_NORM,CRASH_COUNT,ROAD_RISK,ATM_RISK,WEATHER_RISK,CLUSTER
Dry,Clear,Cross intersection,18-21,1,0.18817518201188305,0.02467480060767182,2633,0.0,0.0,0.0,4
Dry,Clear,Cross intersection,22-25,1,0.1795960287173312,0.022184827129261495,2767,0.0,0.0,0.0,4
Dry,Clear,Cross intersection,26-29,1,0.17196293756740733,0.021510877581120903,2260,0.0,0.0,0.0,4
Dry,Clear,Cross intersection,30-39,1,0.16895033005796953,0.02291317532519348,4177,0.0,0.0,0.0,4
Dry,Clear,Cross intersection,40-49,1,0.17259948460154945,0.02278220933043264,2758,0.0,0.0,0.0,4
Dry,Clear,Not at intersection,18-21,1,0.20255232145838947,0.022631630456057896,5109,0.0,0.0,0.0,4
Dry,Clear,Not at intersection,22-25,1,0.18723766234680728,0.021705355906384116,4814,0.0,0.0,0.0,4
Dry,Clear,Not at intersection,26-29,1,0.1821138748257392,0.02156237027812366,4015,0.0,0.0,0.0,4
Dry,Clear,Not at intersection,30-39,1,0.1784139647130141,0.022773931790604916,7692,0.0,0.0,0.0,4
Dry,Clear,Not at intersection,40-49,1,0.18399001154029912,0.021410899200419407,5086,0.0,0.0,0.0,4
