SURFACE_COND_DESC,ATMOSPH_COND_DESC,ROAD_GEOMETRY_DESC,AGE_GROUP_MODE,LIGHT_CONDITION,VEHICLE_AGE_NORM,TOTAL_OCCUPANTS_NORM,CRASH_COUNT,ROAD_RISK,ATM_RISK,WEATHER_RISK,CLUSTER
Wet,Strong winds,Unknown,0-4,1,0.2796610169491525,0.0833333333333333,1,1.0,1.0,2.0,5
Dry,Clear,Y intersection,60-64,2,0.5254237288135594,0.0104166666666666,1,0.0,0.0,0.0,5
Dry,Dust,Cross intersection,0-4,1,0.2288135593220339,0.03124999999999995,2,0.0,2.0,2.0,5
Dry,Dust,Cross intersection,13-15,3,0.2542372881355932,0.0416666666666666,1,0.0,2.0,2.0,5
Dry,Dust,Cross intersection,18-21,1,0.2146892655367231,0.055555555555555504,3,0.0,2.0,2.0,5
Dry,Dust,Cross intersection,22-25,1,0.2542372881355932,0.0416666666666666,1,0.0,2.0,2.0,5
Dry,Dust,Cross intersection,26-29,1,0.2033898305084746,0.0104166666666666,1,0.0,2.0,2.0,5
Wet,Strong winds,Not at intersection,26-29,9,0.2542372881355932,0.0208333333333333,1,1.0,1.0,2.0,5
Wet,Strong winds,Not at intersection,13-15,5,0.33050847457627114,0.125,2,1.0,1.0,2.0,5
Wet,Strong winds,Multiple intersection,30-39,3,0.3220338983050847,0.0208333333333333,1,1.0,1.0,2.0,5
