SURFACE_COND_DESC,ATMOSPH_COND_DESC,ROAD_GEOMETRY_DESC,AGE_GROUP_MODE,LIGHT_CONDITION,VEHICLE_AGE_NORM,TOTAL_OCCUPANTS_NORM,CRASH_COUNT,ROAD_RISK,ATM_RISK,WEATHER_RISK,CLUSTER
Wet,Strong winds,Y intersection,50-59,1,0.1186440677966101,0.0416666666666666,1,1.0,1.0,2.0,0
Dry,Dust,Cross intersection,13-15,1,0.12570621468926552,0.09375,2,0.0,2.0,2.0,0
Dry,Dust,Cross intersection,18-21,5,0.1864406779661017,0.0208333333333333,1,0.0,2.0,2.0,0
Dry,Dust,Cross intersection,26-29,2,0.1016949152542373,0.0208333333333333,1,0.0,2.0,2.0,0
Dry,Dust,Cross intersection,30-39,1,0.17514124293785308,0.031249999999999934,3,0.0,2.0,2.0,0
Dry,Dust,Cross intersection,40-49,1,0.07062146892655363,0.0243055555555555,3,0.0,2.0,2.0,0
Dry,Dust,Cross intersection,40-49,3,0.0847457627118644,0.0208333333333333,1,0.0,2.0,2.0,0
Dry,Dust,Cross intersection,40-49,5,0.1779661016949152,0.0208333333333333,1,0.0,2.0,2.0,0
Wet,Strong winds,T intersection,30-39,2,0.1101694915254237,0.0416666666666666,1,1.0,1.0,2.0,0
Wet,Strong winds,T intersection,30-39,1,0.15938150460898007,0.053728070175438555,19,1.0,1.0,2.0,0
