SURFACE_COND_DESC,ATMOSPH_COND_DESC,ROAD_GEOMETRY_DESC,AGE_GROUP,LIGHT_CONDITION,VEHICLE_AGE_NORM,TOTAL_OCCUPANTS_NORM,CRASH_COUNT,WEATHER_RISK,SPEED_ZONE_BINARY,ATMOSPH_COND_RISK,SURFACE_COND_RISK,CLUSTER
Icy,Clear,Not at intersection,30-39,2,0.17796610169491522,0.10625000000000001,4,3.0,0.75,0.0,3.0,0
Icy,Clear,Not at intersection,30-39,1,0.2216770740410348,0.05657894736842105,19,3.0,0.7894736842105263,0.0,3.0,0
Icy,Clear,Not at intersection,26-29,5,0.1906779661016949,0.0625,2,3.0,1.0,0.0,3.0,0
Icy,Clear,Not at intersection,26-29,3,0.09322033898305082,0.06666666666666667,3,3.0,1.0,0.0,3.0,0
Icy,Clear,Not at intersection,26-29,2,0.0677966101694915,0.037500000000000006,2,3.0,0.5,0.0,3.0,0
Icy,Clear,Not at intersection,26-29,1,0.17655367231638416,0.125,6,3.0,0.5,0.0,3.0,0
Icy,Clear,Not at intersection,22-25,3,0.22033898305084745,0.0625,4,3.0,0.25,0.0,3.0,0
Icy,Clear,Not at intersection,22-25,2,0.1949152542372881,0.06875,4,3.0,1.0,0.0,3.0,0
Icy,Clear,Not at intersection,22-25,1,0.2033898305084746,0.1,1,3.0,1.0,0.0,3.0,0
Icy,Clear,Not at intersection,18-21,5,0.21355932203389827,0.065,5,3.0,0.8,0.0,3.0,0
Icy,Clear,Not at intersection,18-21,3,0.28813559322033894,0.037500000000000006,2,3.0,0.5,0.0,3.0,0
Icy,Clear,Not at intersection,18-21,2,0.3559322033898305,0.025,1,3.0,0.0,0.0,3.0,0
Icy,Clear,T intersection,22-25,1,0.2309322033898305,0.04375,4,3.0,0.25,0.0,3.0,0
Icy,Clear,T intersection,18-21,3,0.23728813559322032,0.09375,4,3.0,0.0,0.0,3.0,0
Icy,Clear,T intersection,18-21,1,0.1468926553672316,0.075,3,3.0,0.6666666666666666,0.0,3.0,0
Icy,Clear,Not at intersection,70+,3,0.4067796610169492,0.05,1,3.0,0.0,0.0,3.0,0
Icy,Clear,Not at intersection,70+,2,0.0762711864406779,0.05,1,3.0,0.0,0.0,3.0,0
Icy,Clear,Not at intersection,70+,1,0.19774011299435026,0.025000000000000005,3,3.0,0.6666666666666666,0.0,3.0,0
Icy,Clear,Not at intersection,65-69,5,0.1186440677966101,0.025,1,3.0,1.0,0.0,3.0,0
Icy,Clear,Not at intersection,65-69,2,0.135593220338983,0.05,1,3.0,0.0,0.0,3.0,0
Icy,Clear,Not at intersection,65-69,1,0.2598870056497175,0.041666666666666664,3,3.0,1.0,0.0,3.0,0
Icy,Clear,Not at intersection,60-64,3,0.3559322033898305,0.025,1,3.0,1.0,0.0,3.0,0
Icy,Clear,Not at intersection,60-64,1,0.13135593220338976,0.037500000000000006,4,3.0,0.5,0.0,3.0,0
Icy,Clear,Not at intersection,50-59,5,0.18644067796610164,0.037500000000000006,2,3.0,1.0,0.0,3.0,0
Icy,Clear,Not at intersection,50-59,2,0.0847457627118644,0.05,1,3.0,1.0,0.0,3.0,0
Icy,Clear,Not at intersection,50-59,1,0.21610169491525422,0.04375,4,3.0,0.5,0.0,3.0,0
Icy,Clear,Not at intersection,5-12,1,0.135593220338983,0.25,1,3.0,1.0,0.0,3.0,0
Icy,Clear,Not at intersection,40-49,5,0.0508474576271186,0.025,1,3.0,1.0,0.0,3.0,0
