SURFACE_COND_DESC,ATMOSPH_COND_DESC,ROAD_GEOMETRY_DESC,AGE_GROUP,LIGHT_CONDITION,VEHICLE_AGE_NORM,TOTAL_OCCUPANTS_NORM,CRASH_COUNT,WEATHER_RISK,SPEED_ZONE_BINARY,ATMOSPH_COND_RISK,SURFACE_COND_RISK,CLUSTER
Wet,Strong winds,Y intersection,18-21,2,0.2372881355932203,0.25,1,2.0,1.0,1.0,1.0,0
Icy,Clear,Cross intersection,13-15,3,0.288135593220339,0.1,1,3.0,0.0,0.0,3.0,0
Snowy,Strong winds,Not at intersection,50-59,1,0.1016949152542373,0.1,1,4.0,0.0,1.0,3.0,0
Snowy,Strong winds,Multiple intersection,30-39,1,0.0338983050847457,0.7,1,4.0,0.0,1.0,3.0,0
Snowy,Strong winds,Cross intersection,26-29,2,0.0338983050847457,0.2,1,4.0,0.0,1.0,3.0,0
Snowy,Snowing,T intersection,50-59,1,0.3389830508474576,0.025,1,6.0,1.0,3.0,3.0,0
Snowy,Snowing,Not at intersection,60-64,1,0.0508474576271186,0.15,1,6.0,1.0,3.0,3.0,0
Snowy,Snowing,Not at intersection,50-59,3,0.0338983050847457,0.2,1,6.0,0.0,3.0,3.0,0
Snowy,Snowing,Not at intersection,50-59,1,0.13389830508474576,0.145,5,6.0,0.6,3.0,3.0,0
Snowy,Snowing,Not at intersection,5-12,5,0.1694915254237288,0.2,1,6.0,1.0,3.0,3.0,0
Snowy,Snowing,Not at intersection,5-12,1,0.12288135593220335,0.3,2,6.0,1.0,3.0,3.0,0
Snowy,Snowing,Not at intersection,40-49,6,0.1525423728813559,0.05,1,6.0,1.0,3.0,3.0,0
Snowy,Snowing,Not at intersection,40-49,2,0.2203389830508474,0.2,1,6.0,1.0,3.0,3.0,0
Snowy,Snowing,Not at intersection,40-49,1,0.1016949152542373,0.2,1,6.0,0.0,3.0,3.0,0
Snowy,Snowing,Not at intersection,30-39,1,0.15819209039548018,0.19166666666666665,3,6.0,0.6666666666666666,3.0,3.0,0
Snowy,Snowing,Not at intersection,26-29,2,0.0508474576271186,0.2,1,6.0,1.0,3.0,3.0,0
Snowy,Snowing,Not at intersection,22-25,1,0.17372881355932202,0.225,4,6.0,0.5,3.0,3.0,0
Snowy,Snowing,Not at intersection,18-21,5,0.16101694915254236,0.15,2,6.0,0.5,3.0,3.0,0
Icy,Clear,Not at intersection,40-49,2,0.1271186440677966,0.075,5,3.0,0.8,0.0,3.0,0
Icy,Clear,Not at intersection,40-49,1,0.21610169491525422,0.05833333333333334,6,3.0,0.5,0.0,3.0,0
Icy,Clear,Not at intersection,30-39,5,0.2531779661016949,0.046875,8,3.0,0.875,0.0,3.0,0
Icy,Clear,Not at intersection,30-39,3,0.15466101694915252,0.075,4,3.0,0.5,0.0,3.0,0
